,Unnamed: 0,id,team_one,team_two,stage,winner,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,winner_label,t1_odds,t2_odds
0,0,10223,Los Angeles Valiant,San Francisco Shock,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,
1,1,10224,Los Angeles Gladiators,Shanghai Dragons,Overwatch League - Stage 1,Los Angeles Gladiators,2018-01-11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-370,276
2,2,10225,Seoul Dynasty,Dallas Fuel,Overwatch League - Stage 1,Seoul Dynasty,2018-01-11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-588,413
3,3,10226,Florida Mayhem,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-01-11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,652,-1667
4,4,10227,Houston Outlaws,Philadelphia Fusion,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,-161,143
5,5,10228,New York Excelsior,Boston Uprising,Overwatch League - Stage 1,New York Excelsior,2018-01-12,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-769,380
6,6,10229,Dallas Fuel,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-13,False,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,
7,7,10230,Boston Uprising,Florida Mayhem,Overwatch League - Stage 1,Boston Uprising,2018-01-13,False,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,110,-139
8,8,10231,Shanghai Dragons,San Francisco Shock,Overwatch League - Stage 1,San Francisco Shock,2018-01-13,False,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,316,-435
9,9,10232,Philadelphia Fusion,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-01-13,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,229,-333
10,10,10233,Houston Outlaws,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-01-13,False,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,227,-323
11,11,10234,Los Angeles Gladiators,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-01-13,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,443,-769
12,12,10235,Philadelphia Fusion,San Francisco Shock,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-18,False,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,
13,13,10236,Seoul Dynasty,Florida Mayhem,Overwatch League - Stage 1,Seoul Dynasty,2018-01-18,False,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-3333,1005
14,14,10237,Shanghai Dragons,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-01-18,False,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,501,-909
15,15,10238,Houston Outlaws,Dallas Fuel,Overwatch League - Stage 1,Houston Outlaws,2018-01-18,False,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,169,-233
16,16,10239,Los Angeles Valiant,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-01-19,False,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,
17,17,10240,Los Angeles Gladiators,Philadelphia Fusion,Overwatch League - Stage 1,Los Angeles Gladiators,2018-01-19,False,1.0,1.0,2.0,1.0,2.0,3.0,0.5,0.6666666666666666,1.0,1.0,2.0,1.0,2.0,3.0,0.5,0.6666666666666666,,,2.0,1.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-101,-132
18,18,10241,Boston Uprising,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-01-20,False,1.0,1.0,3.0,0.0,2.0,3.0,0.5,1.0,1.0,1.0,3.0,0.0,2.0,3.0,0.5,1.0,,,3.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,
