,Unnamed: 0,id,team_one,team_two,stage,winner,winner_label,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,t1_odds,t2_odds
715,715,40032,Seoul Dynasty,Guangzhou Charge,OWL 2020 Regular Season,,,6/20/2020,TRUE,5,4,8,6,9,14,0.555555556,0.571428571,44,39,24,20,83,44,0.530120482,0.545454545,2,1,3,0,0.666666667,1,2,3,4,1,0.4,0.8,5,5,6,4,0.5,0.6,9,11,13,7,0.45,0.65,8,9,2,2,4,0.5,-230,190
716,716,40033,London Spitfire,Chengdu Hunters,OWL 2020 Regular Season,,,6/20/2020,TRUE,6,4,3,11,10,14,0.6,0.214285714,54,37,16,27,91,43,0.593406593,0.372093023,2,1,0,3,0.666666667,0,3,2,0,5,0.6,0,6,4,2,8,0.6,0.2,11,9,5,15,0.55,0.25,7,12,1,1,2,0.5,-160,140
717,717,40034,Hangzhou Spark,New York Excelsior,OWL 2020 Regular Season,,,6/20/2020,TRUE,6,7,10,3,13,13,0.461538462,0.769230769,27,21,73,24,48,97,0.5625,0.75257732,1,2,2,1,0.333333333,0.666666667,3,2,3,2,0.6,0.6,5,5,8,2,0.5,0.8,11,9,13,7,0.55,0.65,4,2,0,2,2,0,425,-550
718,718,40035,San Francisco Shock,Paris Eternal,OWL 2020 Regular Season,,,6/20/2020,TRUE,11,2,8,7,13,15,0.846153846,0.533333333,63,33,19,23,96,42,0.65625,0.452380952,3,0,2,1,1,0.666666667,5,0,3,2,1,0.6,10,0,5,5,1,0.5,17,3,10,10,0.85,0.5,3,14,1,0,1,1,-1250,680
719,719,40036,Atlanta Reign,Toronto Defiant,OWL 2020 Regular Season,,,6/20/2020,TRUE,7,6,6,9,13,15,0.538461538,0.4,24,21,14,30,45,44,0.533333333,0.318181818,2,1,1,2,0.666666667,0.333333333,3,2,2,3,0.6,0.4,5,5,5,5,0.5,0.5,12,8,7,13,0.6,0.35,6,17,4,0,4,1,-400,325
720,720,40037,Los Angeles Gladiators,Houston Outlaws,OWL 2020 Regular Season,,,6/20/2020,TRUE,6,6,4,12,12,16,0.5,0.25,50,39,35,51,89,86,0.561797753,0.406976744,1,2,0,3,0.333333333,0,2,3,0,5,0.4,0,5,5,3,7,0.5,0.3,10,10,4,16,0.5,0.2,5,16,3,2,5,0.6,-1000,650
721,721,40038,Dallas Fuel,Vancouver Titans,OWL 2020 Regular Season,,,6/20/2020,TRUE,6,7,4,6,13,10,0.461538462,0.4,28,55,38,12,83,50,0.337349398,0.76,1,2,1,2,0.333333333,0.333333333,2,3,2,3,0.4,0.4,6,4,4,6,0.6,0.4,6,14,11,9,0.3,0.55,15,1,0,3,3,0,-2300,1100
722,722,40039,Guangzhou Charge,Hangzhou Spark,OWL 2020 Regular Season,,,6/21/2020,TRUE,8,6,6,7,14,13,0.571428571,0.461538462,24,20,27,21,44,48,0.545454545,0.5625,3,0,1,2,1,0.333333333,4,1,3,2,0.8,0.6,6,4,5,5,0.6,0.5,13,7,11,9,0.65,0.55,9,4,3,2,5,0.6,-210,175
723,723,40040,Chengdu Hunters,Shanghai Dragons,OWL 2020 Regular Season,,,6/21/2020,TRUE,3,11,10,4,14,14,0.214285714,0.714285714,16,27,27,61,43,88,0.372093023,0.306818182,0,3,1,2,0,0.333333333,0,5,2,3,0,0.4,2,8,7,3,0.2,0.7,5,15,11,9,0.25,0.55,12,11,1,4,5,0.2,800,-1475
724,724,40041,New York Excelsior,London Spitfire,OWL 2020 Regular Season,,,6/21/2020,TRUE,10,3,6,4,13,10,0.769230769,0.6,73,24,54,37,97,91,0.75257732,0.593406593,2,1,2,1,0.666666667,0.666666667,3,2,3,2,0.6,0.6,8,2,6,4,0.8,0.6,13,7,11,9,0.65,0.55,2,7,7,2,9,0.777777778,-1100,700
